,scheme_code,scheme_name,div_growth,div_reinvest,nav,nav_date
0,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,36.768,23 Mar 2020
1,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,37.772,24 Mar 2020
2,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,39.123000000000005,3 Apr 2020
3,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,39.895,25 Mar 2020
4,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,40.068000000000005,1 Apr 2020
5,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,40.122,30 Mar 2020
6,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,40.541,19 Mar 2020
7,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,41.452,31 Mar 2020
8,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,41.54600000000001,26 Mar 2020
9,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,41.54600000000001,27 Mar 2020
10,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,41.54600000000001,18 Mar 2020
11,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,41.54600000000001,18 May 2020
12,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,41.54600000000001,19 May 2020
13,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,41.54600000000001,20 Mar 2020
14,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,41.54600000000001,7 Apr 2020
15,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,41.54600000000001,8 Apr 2020
16,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,41.54600000000001,22 May 2020
17,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,41.54600000000001,20 May 2020
19,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,43.44,21 May 2020
20,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,43.458,13 Apr 2020
21,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,43.89,21 Apr 2020
22,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,43.9,16 Apr 2020
24,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,43.971000000000004,17 Mar 2020
25,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.063,14 May 2020
26,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.071000000000005,12 May 2020
27,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.098,9 Apr 2020
28,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.163999999999994,7 May 2020
30,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.364,11 May 2020
31,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.37,8 May 2020
32,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.464,6 May 2020
33,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.566,24 Apr 2020
34,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.708999999999996,4 May 2020
35,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.783,22 Apr 2020
36,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.881,16 Mar 2020
37,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,44.967,13 May 2020
38,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,45.201,17 Apr 2020
39,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,45.242,27 Apr 2020
40,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,45.276,23 Apr 2020
41,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,45.315,20 Apr 2020
42,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,45.588,28 Apr 2020
43,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,46.244,29 Apr 2020
44,118825.0,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,,46.445,12 Mar 2020
